18846023;1;259.400000;0.000000
18866348;2;341.600000;0.000000
18894064;3;691.800000;0.000000
18934579;4;848.000000;0.000000
18952790;5;1104.200000;0.000000
18968933;6;1287.000000;0.000000
18985190;7;1705.400000;0.000000
19000776;8;1892.400000;0.000000
19015917;9;2176.000000;0.000000
19121672;10;2412.400000;0.000000

-kp=-0.00095592", "-ki=0.00153988", "-kd=0.00035811"
-kp=-0.00062501", "-ki=0.00150423", "-kd=0.00034982"
-kp=-0.00059938", "-ki=0.00188209", "-kd=0.00043769"
-kp=-0.00093023", "-ki=0.00187944", "-kd=0.00043708"
-kp=-0.00085641", "-ki=0.00189900", "-kd=0.00044163"
-kp=-0.00094852", "-ki=0.00182394", "-kd=0.00042417"
-kp=-0.00083871", "-ki=0.00161723", "-kd=0.00037610"
-kp=-0.00057235", "-ki=0.00201997", "-kd=0.00046976"
-kp=-0.00099316", "-ki=0.00184262", "-kd=0.00042852"
-kp=-0.00102906", "-ki=0.00156672", "-kd=0.00036435"
-kp=-0.00066446", "-ki=0.00171701", "-kd=0.00039930"
 -kp=-0.00095443", "-ki=0.00174081", "-kd=0.00040484"
 -kp=-0.00114706", "-ki=0.00181097", "-kd=0.00042116"
