File;RMSE;NMRSE;MAE;MAPE;SMAPE;R2;ITAE;ISE;Control Effort;CC;Goal Range
Experiment-AsTAR-None;362,706600;0,175068;275,072665;75,848159;34,115592;-0,204919;82521,799576;39466823,303787;8657,000000;1613,659958;52,666667
Experiment-BasicPID-AMIGO;548,021815;0,248965;469,999332;90,775989;52,711626;-0,000678;140999,799622;90098372,953208;11231,000000;2611,287514;23,666667
Experiment-BasicPID-Cohen;394,112255;0,201819;306,318668;59,130316;34,274734;-0,002076;91895,600388;46597340,893444;9347,000000;1288,933956;45,333333
Experiment-BasicPID-RootLocus;375,099140;0,222928;282,739331;151,069741;35,392038;-0,068379;84821,799414;42209809,355995;6875,000000;502,978023;49,333333
Experiment-BasicPID-Ziegler;369,833709;0,223276;278,749333;309,461152;35,877214;-0,107010;83624,800018;41033091,788800;8381,000000;543,854780;49,333333
Experiment-HPA-None;286,403170;0,091049;176,233333;38,011057;18,899223;-0,015995;52869,999826;24608032,794879;12817,000000;1915,609796;74,333333
Experiment-OnOff-None;3882,643095;0,435079;2905,488001;218,964910;126,530554;-0,456151;871646,400360;4522475221,595616;1500150,000000;662311,392611;0,333333
Experiment-OnOffwithDeadZone-None;3625,225961;0,403556;2756,279324;202,608269;127,159188;-0,448482;826883,797226;3942678980,878368;1500150,000000;672630,230138;0,000000
Experiment-OnOffwithHysteresis-None;3395,021723;0,450077;2628,799335;202,127880;126,633508;-0,446936;788639,800446;3457851750,692733;1500150,000000;684653,982339;0,333333
Experiment-SmoothingDerivativePID-AMIGO;553,062456;0,256761;464,266668;84,198730;51,363037;-0,000091;139280,000397;91763424,156448;11723,000000;2699,674214;24,666667
Experiment-SmoothingDerivativePID-Cohen;473,510933;0,247419;391,085335;76,871565;44,324465;-0,001420;117325,600636;67263781,009547;9837,000000;1729,593434;34,333333
Experiment-SmoothingDerivativePID-RootLocus;350,794215;0,220653;260,224670;66,341242;31,942504;-0,062899;78067,401047;36916974,362282;6432,000000;482,633889;51,666667
Experiment-SmoothingDerivativePID-Ziegler;289,495668;0,205200;206,957331;54,871184;25,613178;-0,101534;62087,199261;25142322,552925;4527,000000;269,842163;68,666667
Experiment-IncrementalFormPID-RootLocus;367,353371;0,203746;274,748667;89,832835;34,462151;-0,078333;82424,600195;40484549,675208;8652,000000;677,641230;49,333333
Experiment-DeadZonePID-AMIGO;414,778217;0,192241;299,622665;65,171849;33,781380;-0,001960;89886,799423;51612290,851257;13635,000000;2435,969674;50,666667
Experiment-DeadZonePID-RootLocus;301,054553;0,215501;209,514001;56,007440;26,236267;-0,078130;62854,200184;27190153,123364;4167,000000;299,885614;65,666667
Experiment-DeadZonePID-Ziegler;299,235998;0,214475;205,698666;51,892378;25,852067;-0,110361;61709,599674;26862654,822482;5359,000000;314,382320;61,000000
Experiment-ErrorSquarePIDFull-AMIGO;1896,628447;0,250757;1294,348003;314,017655;119,459507;-0,002194;388304,401042;1079159839,870072;554276,000000;401701,738848;0,000000
Experiment-ErrorSquarePIDFull-RootLocus;1832,742498;0,266790;1289,184005;283,533785;121,074529;-0,001792;386755,201370;1007683519,731407;546774,000000;399861,588451;0,000000
Experiment-ErrorSquarePIDFull-Ziegler;1877,062063;0,257980;1299,861334;304,090503;120,694046;-0,002683;389958,400333;1057008596,156021;548983,000000;395495,012452;0,333333
Experiment-ErrorSquarePIDProportional-AMIGO;2115,524537;0,284192;1588,344668;200,031774;110,890802;-0,148562;476503,400490;1342633220,380618;803287,000000;456041,955513;1,333333
Experiment-ErrorSquarePIDProportional-Cohen;3210,305129;0,380341;2452,461337;198,293136;124,156317;-0,379894;735738,401031;3091817706,067571;1227810,000000;598349,426815;0,000000
Experiment-ErrorSquarePIDProportional-RootLocus;766,342774;2,306872;762,863334;433,837241;124,523415;-109,375013;228859,000202;176184374,142356;300,000000;0,000000;0,000000
Experiment-ErrorSquarePIDProportional-Ziegler;3311,157661;0,388051;2569,386667;201,134263;124,804091;-0,444575;770816,000141;3289129517,528185;1162558,000000;511712,015979;0,333333
Experiment-GainScheduling-RootLocus;561,089873;0,108764;281,595332;92,801885;33,031172;-0,009541;84478,599602;94446553,708758;58198,000000;35821,758549;61,333333
Experiment-GainScheduling-Ziegler;575,629847;0,094353;278,433330;97,178334;32,145520;-0,007430;83529,999063;99404916,359729;33323,000000;22212,895903;63,666667
