
c1.csv;state model;matlab1;Kp = 0.00806, Ki = 0.000493, Kd = 0.0171
c2-hpa.csv;hpa
c3.csv;transfer-function;tf2poles1zero;matlab3;Kp = 0.0269, Ki = 0.000712, Kd = 0.0628
c4.csv;transfer-function;tf1poles0zero;matlab4;Kp = -0.0349, Ki = -0.00363, Kd = -0.0679
c5.csv;transfer-function;tf3poles2zero;matlab5;Kp = 0.000826, Ki = 0.000165, Kd = 0.00103
c6.csv;transfer-function;tf4poles3zero;Kp = 0.0267, Ki = 2.96e-05, Kd = 0.0665
c7.csv;transfer-function;tf5poles4zero;Kp = 0.00334, Ki = 8.76e-06, Kd = 0.0083
c8.csv;transfer-function;tf3poles3zero;Kp = 0.0219, Ki = 0.000421, Kd = 0.186
c9.csv;transfer-function;tf5poles4zero;Kp = -0.00163, Ki = -1.17e-08, Kd = -0.00407
c10.csv;transfer-function;tf5poles4zeroRefined;Kp = 0.000437, Ki = 8.74e-05, Kd = 0.000546
c11.csv;transfer-function;tf6poles4zero;Kp = 0.00352, Ki = 0.000379, Kd = 0.00644
c12.csv;iv;iv641-c12;Kp = -0.0111, Ki = -1.29e-05, Kd = -2.4
c13.csv;transfer-function;tf7poles6zero;Kp = 0.000405, Ki = 8.11e-05, Kd = 0.000507
c14-root.csv;manual-root-locus;;-kp=-0.00088937", "-ki=0.00141098", "-kd=0.00032814"
c15.csv;transfer-function;tf1poles0zero;Tracking reference;Response Time (5.0);Transient Behaviour (0.45);kp=0.015641, ki=0.0062563, kd=0.0
c16.csv;transfer-function;tf3poles2zero;Tracking reference;Response Time (5.0);Transient Behaviour (0.45);kp=0.0041247, ki=0.00074741, kd=0.0
c17.csv;transfer-function;tf3poles2zero;Balanced;Response Time (303.85);Transient Behaviour (0.6); kp=0.00041312 ki=0.00016525, kd=0.0
c18.csv;transfer-function;tf5poles4zeroRefined;Balanced;Response TIme (5008.19); Transient Behaviour(0.6); Kp = 1.825841182263492e-05, Ki = 7.303364729053967e-06, Kd = 0.0
c19.csv;transfer-function;tf3poles2zero;Balanced;Backward Euler; Response Time (303.85);Transient Behaviour (0.6); kp=-0.00041312, Ki=0.00016525, kd=0.0
c20.csv;transfer-function;tf1poles0zero;Balanced;Backward Euler;Response Time (303.85);Transient Behaviour (0.6);kp=-0.00060587,ki=0.00012117,kd=0.00075734
c21.csv;transfer-function;tf3poles2zero;Balanced;Backward Euler;Response Time (303.85);Transient Behaviour (0.6);kp=-0.00082634, ki=0.00016527, kd=0.0010329
c22.csv;transfer-function;tf6poles4zero;Balanced;Backward Euler;Response Time (179.96);Transient Behaviour (0.6); kp=-0.00097176,ki=0.00019435, kd=0.0012147
[Repeticao do C14]c23.csv;manual-root-locus;;-kp=-0.00088937", "-ki=0.00141098", "-kd=0.00032814"
[Repeticao do C14 com amostra de 600]c24.csv;manual-root-locus;;-kp=-0.00088937", "-ki=0.00141098", "-kd=0.00032814"

