25862342;1;202.800000;0.000000
25888280;2;296.000000;0.000000
25917222;3;506.600000;0.000000
25947595;4;638.000000;0.000000
25971937;5;830.600000;0.000000
26002021;6;1093.800000;0.000000
26049935;7;1310.600000;0.000000
26071651;8;1610.000000;0.000000
26091648;9;1902.800000;0.000000
26169211;10;2137.400000;0.000000
26300885;11;2384.200000;0.000000

-kp=-0.00095592", "-ki=0.00153988", "-kd=0.00035811"
-kp=-0.00062501", "-ki=0.00150423", "-kd=0.00034982"
-kp=-0.00059938", "-ki=0.00188209", "-kd=0.00043769"
-kp=-0.00093023", "-ki=0.00187944", "-kd=0.00043708"
-kp=-0.00085641", "-ki=0.00189900", "-kd=0.00044163"
-kp=-0.00094852", "-ki=0.00182394", "-kd=0.00042417"
-kp=-0.00083871", "-ki=0.00161723", "-kd=0.00037610"
-kp=-0.00057235", "-ki=0.00201997", "-kd=0.00046976"
-kp=-0.00099316", "-ki=0.00184262", "-kd=0.00042852"
-kp=-0.00102906", "-ki=0.00156672", "-kd=0.00036435"
-kp=-0.00066446", "-ki=0.00171701", "-kd=0.00039930"
-kp=-0.00095443", "-ki=0.00174081", "-kd=0.00040484"
-kp=-0.00114706", "-ki=0.00181097", "-kd=0.00042116"
-kp=-0.00090266", "-ki=0.00184685", "-kd=0.00042950"
-kp=-0.00092008", "-ki=0.00182536", "-kd=0.00042450"
-kp=-0.00097957", "-ki=0.00184024", "-kd=0.00042796"
-kp=-0.00067588", "-ki=0.00188554", "-kd=0.00043850"
-kp=-0.00125340", "-ki=0.00206125", "-kd=0.00047936"
-kp=-0.00117095", "-ki=0.00196117", "-kd=0.00045609"
-kp=-0.00093710", "-ki=0.00215096", "-kd=0.00050022"
