Controller;RMSE;NMRSE;MAPE;SMAPE;ITAE;IAE;ISE;Control Effort;R2;Goal Range 
HPA-None;241.695496;0.078564;19.215041;13.895964;280037246.135635;126482.801552;52575041.298746;4476.000000;0.454814;83.888889
BasicP-Cohen;858.356305;2.041761;315.622800;118.664120;1689960512.472839;743612.599735;663097992.211872;900.000000;0.121417;0.000000
BasicPI-RootLocus;265.741952;0.126870;36.196826;20.513403;349154403.584557;163756.000793;63556906.405063;4351.000000;0.432605;70.555556
BasicPI-Cohen;1563.202489;0.226295;240.450930;109.609857;2474574409.371080;1092491.396887;2199241818.279163;8558.000000;0.021184;1.000000
BasicPID-AMIGO;746.169403;0.215208;116.600948;65.122796;1334190761.869774;586163.601051;501091900.008339;4932.000000;0.095921;13.000000
AsTAR-None;297.579784;0.117500;46.598472;24.577656;461872199.593544;208819.600447;79698354.893474;3941.000000;0.397689;54.444444
DeadZonePID-Cohen;538.972572;0.179371;71.715929;44.423659;850158971.859570;388487.801640;261442290.316293;4277.000000;0.151509;35.888889
DeadZonePID-AMIGO;672.593585;0.162227;99.926720;57.768245;1098765517.402191;508271.201523;407143917.297373;5159.000000;0.107101;22.555556
SetpointWeighting-Ziegler;255.687911;0.109813;52.717488;20.291647;350649134.762468;167154.201783;58838676.826216;3786.000000;0.453120;69.111111
PIWithTwoDegreesOfFreedom-RootLocus;213.944337;0.122310;22.087656;14.811953;233783658.144531;118668.000839;41194961.308733;2849.000000;0.551017;78.222222
PIWithTwoDegreesOfFreedom-AMIGO;829.862844;0.220053;100.620778;65.752192;1453690981.449280;635303.998825;619805106.542775;3359.000000;0.071954;8.444444
IncrementalFormPID-AMIGO;833.550408;0.267988;122.211955;71.315307;1409649094.469070;672992.399750;625325654.489326;5584.000000;0.068497;10.888889
ErrorSquarePIDProportional-Ziegler;2847.188337;0.259723;190.447036;114.068555;4025089134.837494;1818277.796127;7295833283.405964;25999.000000;0.112024;0.666667
BasicPI-Ziegler;287.120514;0.155959;76.558961;24.874501;420581868.525786;188708.999796;74194370.553232;3627.000000;0.406877;66.777778
BasicP-Ziegler;838.334085;2.048715;286.652374;114.155223;1627213389.955864;725331.399719;632523634.849519;900.000000;0.128414;0.000000
DeadZonePID-Ziegler;235.314984;0.125689;29.410172;18.680618;348738394.821968;153523.599789;49835827.680589;3767.000000;0.513904;72.777778
ErrorSquarePIDProportional-RootLocus;855.728515;1.922985;354.898351;118.535788;1682635818.607757;742034.799928;659044161.934346;900.000000;0.153807;0.000000
ErrorSquarePIDProportional-Cohen;2933.891389;0.308033;178.248854;110.561693;3963137666.248589;1777045.599464;7746946813.317477;23964.000000;0.157921;0.444444
ErrorSquarePIDProportional-AMIGO;2282.962154;0.269510;194.745811;108.763196;3126856075.825577;1405828.401855;4690724576.947335;17648.000000;0.140936;0.333333
SmoothingDerivativePID-Ziegler;229.467903;0.131908;34.686949;17.811238;302799411.706581;141443.001350;47389966.531050;4332.000000;0.494731;74.666667
SmoothingDerivativePID-AMIGO;731.768205;0.236085;118.301320;64.883306;1326542156.718903;580754.002296;481936235.028380;5027.000000;0.102407;13.333333
BasicP-RootLocus;586.414046;0.367842;135.227210;66.612799;1033015119.942970;457407.999466;309493290.075636;2099.000000;0.210375;20.666667
DeadZonePID-RootLocus;250.917992;0.126394;41.684573;19.364496;354445473.660278;156704.401161;56663854.643474;4098.000000;0.444792;72.000000
PIWithTwoDegreesOfFreedom-Ziegler;244.581655;0.099407;41.443805;19.564829;326806831.091728;154188.199841;53838167.358483;4016.000000;0.482643;71.888889
IncrementalFormPID-Cohen;691.687706;0.239107;89.596850;57.343751;1180844991.742954;534854.999317;430588694.601854;4306.000000;0.090555;20.111111
GainScheduling-RootLocus;240.192166;0.064519;36.228829;16.333829;305014354.195557;132446.400526;51923049.132590;4369.000000;0.493979;77.111111
GainScheduling-Ziegler;321.220969;0.069604;38.130527;17.563521;285349630.308399;142558.599970;92864620.086841;4427.000000;0.352518;78.666667
